index,track_name,artist(s)_name,artist_count,streams,bpm,mode,acousticness_%,instrumentalness_%,liveness_%,released_date
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,141381703,125,Major,31,0,8,2023-07-14
1,LALA,Myke Towers,1,133716286,92,Major,7,0,10,2023-03-23
2,vampire,Olivia Rodrigo,1,140003974,138,Major,17,0,31,2023-06-30
3,Cruel Summer,Taylor Swift,1,800840817,170,Major,11,0,11,2019-08-23
4,WHERE SHE GOES,Bad Bunny,1,303236322,144,Minor,14,63,11,2023-05-18
5,Sprinter,"Dave, Central Cee",2,183706234,141,Major,19,0,8,2023-06-01
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,725980112,148,Minor,48,0,8,2023-03-16
7,Columbia,Quevedo,1,58149378,100,Major,37,0,11,2023-07-07
8,fukumean,Gunna,1,95217315,130,Minor,12,0,28,2023-05-15
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,553634067,170,Minor,21,0,8,2023-03-17
10,un x100to,"Bad Bunny, Grupo Frontera",2,505671438,83,Minor,23,0,27,2023-04-17
11,Super Shy,NewJeans,1,58255150,150,Minor,18,0,15,2023-07-07
12,Flowers,Miley Cyrus,1,1316855716,118,Major,6,0,3,2023-01-12
13,Daylight,David Kushner,1,387570742,130,Minor,83,0,9,2023-04-14
14,As It Was,Harry Styles,1,2513188493,174,Minor,34,0,31,2022-03-31
15,Kill Bill,SZA,1,1163093654,89,Major,5,17,16,2022-12-08
16,Cupid - Twin Ver.,Fifty Fifty,1,496795686,120,Minor,43,0,34,2023-02-24
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,30546883,78,Major,96,0,10,2023-07-13
18,Classy 101,"Feid, Young Miko",2,335222234,100,Major,14,0,12,2023-03-31
19,Like Crazy,Jimin,1,363369738,120,Major,0,0,36,2023-03-24
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,86444842,140,Minor,22,0,42,2023-06-22
21,I Can See You (Taylor���s Version) (From The,Taylor Swift,1,52135248,123,Major,6,0,6,2023-07-07
22,I Wanna Be Yours,Arctic Monkeys,1,1297026226,135,Minor,12,2,11,2013-01-01
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,200647221,133,Minor,26,0,12,2023-05-31
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,115364561,99,Major,7,0,36,2023-06-02
25,SABOR FRESA,Fuerza Regida,1,78300654,130,Minor,9,0,9,2023-06-22
26,Calm Down (with Selena Gomez),"R��ma, Selena G",2,899183384,107,Major,43,0,14,2022-03-25
27,MOJABI GHOST,"Tainy, Bad Bunny",2,61245289,122,Minor,14,0,56,2023-06-29
28,Last Night,Morgan Wallen,1,429829812,204,Major,46,0,15,2023-01-31
29,Dance The Night (From Barbie The Album),Dua Lipa,1,127408954,110,Minor,2,0,33,2023-05-25
30,Rush,Troye Sivan,1,22581161,126,Minor,0,0,11,2023-07-13
31,TULUM,"Peso Pluma, Grupo Frontera",2,52294266,168,Major,39,0,11,2023-06-28
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,843957510,98,Minor,36,0,8,2022-12-02
33,Anti-Hero,Taylor Swift,1,999748277,97,Major,12,0,19,2022-10-21
34,TQG,"Karol G, Shakira",2,618990393,180,Minor,67,0,9,2023-02-23
35,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,123122413,120,Major,11,0,11,2023-06-01
36,Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,188933502,150,Major,37,0,11,2023-04-07
37,Blank Space,Taylor Swift,1,1355959075,96,Major,9,0,13,2014-01-01
38,Style,Taylor Swift,1,786181836,95,Major,0,0,12,2014-01-01
39,TQM,Fuerza Regida,1,176553476,125,Minor,27,0,11,2023-05-19
40,El Azul,"Junior H, Peso Pluma",2,354495408,144,Minor,23,0,10,2023-02-10
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2808096550,90,Major,54,0,7,2018-10-09
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,1109433169,128,Minor,4,0,35,2022-08-26
43,See You Again,"Tyler, The Creator, Kali Uchis",3,1047101291,79,Major,37,0,11,2017-07-21
44,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,65156199,144,Major,52,0,23,2023-06-23
45,Angels Like You,Miley Cyrus,1,570515054,122,Major,10,0,10,2020-11-27
46,I Ain't Worried,OneRepublic,1,1085685420,140,Major,11,0,6,2022-05-13
47,Die For You,The Weeknd,1,1647990401,134,Minor,9,0,15,2016-11-24
48,Starboy,"The Weeknd, Daft Punk",2,2565529693,186,Major,16,0,13,2016-09-21
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,518745108,67,Minor,23,0,44,2023-02-24
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,107753850,106,Minor,7,0,10,2023-06-02
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,177740666,128,Major,0,0,12,2023-04-06
52,AMARGURA,Karol G,1,153372011,107,Minor,18,0,15,2023-02-24
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,57876440,130,Minor,12,19,8,2023-06-15
54,Another Love,Tom Odell,1,1813673666,123,Minor,70,0,9,2012-10-15
55,Blinding Lights,The Weeknd,1,3703895074,171,Major,0,0,9,2019-11-29
56,Moonlight,Kali Uchis,1,256483385,137,Minor,51,0,17,2023-02-24
57,La Bachata,Manuel Turizo,1,1214083358,125,Minor,58,0,22,2022-05-26
58,S91,Karol G,1,16011326,128,Minor,59,0,9,2023-07-14
59,cardigan,Taylor Swift,1,812019557,130,Minor,55,0,27,2020-07-24
60,T��,"dennis, MC Kevin o Chris",2,111947664,130,Major,50,1,9,2023-05-04
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,156338624,133,Major,25,0,25,2023-02-03
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,720434240,101,Major,62,0,9,2022-06-24
63,BESO,"Rauw Alejandro, ROSAL�",2,357925728,95,Minor,74,0,17,2023-03-24
64,Hey Mor,"Ozuna, Feid",2,674072710,98,Minor,0,0,10,2022-10-06
65,Yellow,Chris Molitor,1,1755214421,173,Major,0,0,23,1999-01-01
66,Karma,Taylor Swift,1,404562836,90,Major,7,0,48,2022-10-21
67,People,Libianca,1,373199958,198,Minor,55,0,10,2022-12-02
68,Overdrive,Post Malone,1,14780425,140,Major,0,0,35,2023-07-14
69,Enchanted (Taylor's Version),Taylor Swift,1,39578178,82,Major,1,0,15,2023-07-07
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,54266102,130,Minor,17,0,43,2023-06-23
71,Heat Waves,Glass Animals,1,2557975762,81,Major,44,0,9,2020-06-28
72,golden hour,JVKE,1,751134527,94,Minor,65,18,25,2022-07-15
73,Sweater Weather,The Neighbourhood,1,2282771485,124,Major,5,2,10,2012-05-14
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,1356565093,128,Major,1,3,23,2022-07-06
75,Viva La Vida,Coldplay,1,1592909789,138,Minor,9,0,11,2008-01-01
76,Here With Me,d4vd,1,635412045,132,Major,50,0,12,2022-07-17
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,1230675890,131,Major,1,0,27,2022-09-22
78,Yandel 150,"Yandel, Feid",2,585695368,168,Minor,5,0,10,2022-12-20
79,CORAZ��N VA,Maria Becerra,1,43857627,98,Major,33,0,30,2023-06-22
80,Riptide,Vance Joy,1,2009094673,102,Major,43,0,15,1975-01-01
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,600976848,101,Major,78,0,20,2022-04-22
82,Novidade na ��,"Mc Livinho, DJ Matt D",2,39709092,130,Major,76,0,35,2023-06-23
83,Back To December (Taylor's Version),Taylor Swift,1,39228929,142,Major,1,0,12,2023-07-07
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2665343922,170,Major,4,0,10,2021-07-09
85,El Merengue,"Marshmello, Manuel Turizo",2,223633238,124,Minor,3,1,11,2023-03-03
86,Someone You Loved,Lewis Capaldi,1,2887241814,110,Major,75,0,11,2018-11-08
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,1440757818,92,Minor,9,0,9,2022-05-06
88,Makeba,Jain,1,165484133,116,Major,39,51,25,2015-06-22
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,58054811,129,Major,70,8,9,2012-06-20
90,Fast Car,Luke Combs,1,157058870,98,Major,19,0,12,2023-03-24
91,What It Is (Solo Version),Doechii,1,95131998,172,Minor,6,0,10,2023-03-17
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,250305248,150,Major,4,0,10,2023-03-17
93,Don���t Bl,Taylor Swift,1,685032533,136,Minor,11,0,6,2017-11-08
94,Still With You,Jung Kook,1,38411956,88,Minor,9,0,83,2020-06-05
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,144565150,143,Major,15,0,10,2023-05-12
96,Say Yes To Heaven,Lana Del Rey,1,127567540,100,Minor,71,9,11,2023-03-17
97,Snooze,SZA,1,399686758,143,Major,14,0,11,2022-12-09
98,Summertime Sadness,Lana Del Rey,1,983637508,112,Minor,7,0,12,2011-01-01
99,Take Two,BTS,1,118482347,93,Major,3,0,38,2023-06-09
100,Lover,Taylor Swift,1,882831184,206,Major,50,0,15,2012-01-01
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,286400165,88,Minor,15,0,11,2022-12-02
102,Chemical,Post Malone,1,172825906,170,Major,0,0,12,2023-04-14
103,Mockingbird,Eminem,1,1241559043,84,Minor,21,0,13,2004-01-01
104,New Jeans,NewJeans,1,29562220,134,Minor,51,0,12,2023-07-07
